79093 20305
601 1638013 2946898
602 2304278 2323544
603 2306322 2321500
604 2306946 2320876
605 2313478 2314344
606 2314093 2311186
607 2311017 2308110
608 2307662 2304755
609 2302262 2299355
610 2296003 2293096
611 2292197 2289290
612 2285674 2282767
613 1521867 2924303
614 1488119 2958051
615 1487503 2958667
616 1481763 2964407
617 1454791 2991379
618 1450675 2995495
619 1425247 3020923
620 1418459 3027711
621 1416775 3029395
622 863397 3647686
623 864940 3649229
624 867482 3651771
625 877805 3662094
626 884609 3668898
627 892673 3676962
628 893370 3677659
629 899296 3683585
630 749606 3696543
631 753008 3693141
632 753314 3692835
633 760037 3686112
634 767552 3678597
635 2329570 2239098
636 2330746 2240274
637 2331974 2241502
638 2333774 2243302
639 2337750 2247278
640 2346770 2256298
641 2347610 2257138
642 2352122 2261650
643 2353374 2262902
644 2354274 2263802
645 2354666 2264194
646 2355234 2264762
647 2356022 2265550
648 2357386 2266914
649 2357790 2267318
650 2359614 2269142
651 2361474 2271002
652 2362842 2272370
653 2364006 2273534
654 2364381 2274242
655 2362649 2275974
656 2361769 2276854
657 2360929 2277694
658 2363477 2280242
659 2369009 2285774
660 2372961 2289726
661 2378313 2295078
662 2379769 2296534
663 2387597 2304362
664 2391449 2308214
665 2392209 2308974
666 2391371 2310874
667 2385155 2317090
668 2382699 2319546
669 2382563 2319682
670 2688201 1973191
671 2688237 1973227
672 2685851 1970841
673 2685803 1970793
674 2685899 1970889
675 2685923 1970913
676 2731540 2016530
677 2732368 2017358
678 2730583 2015573
679 2729236 2014226
680 2729657 2014647
681 2731282 2016272
682 2727069 2012059
683 2728065 2013055
684 2728101 2013091
685 2727489 2012479
686 2727993 2012983
687 2728589 2013579
688 2729151 2014141
689 2728401 2013391
690 2729868 2014858
691 2728809 2013799
692 2729099 2014089
693 2728637 2013627
694 2728193 2013183
695 2729381 2014371
696 2729977 2014967
697 2728949 2013939
698 2725835 2010825
699 2726483 2011473
700 2727257 2012247
701 2727185 2012175
702 2727131 2012121
703 2727959 2012949
704 2727923 2012913
705 2726351 2011341
706 2726721 2011711
707 2727050 2012040
708 2727091 2012081
709 2727091 2012081
710 2727430 2012420
711 2727107 2012097
712 2728145 2013135
713 2727683 2012673
714 2728577 2013567
715 2728259 2013249
716 2728948 2013938
717 2728823 2013813
718 2729419 2014409
719 2723456 2008446
720 2724104 2009094
721 2724524 2009514
722 2725100 2010090
723 2725796 2010786
724 2726072 2011062
725 2726660 2011650
726 2724741 2009731
727 2725655 2010645
728 2726442 2011432
729 2720275 2005265
730 2720611 2005601
731 2722171 2007161
732 2722253 2007243
733 2723459 2008449
734 2727904 2012894
735 2727328 2012318
736 2728685 2013675
737 2728130 2013120
738 2728582 2013572
739 2730958 2015948
740 2724186 2009176
741 2723898 2008888
742 2723286 2008276
743 2723022 2008012
744 2724306 2009296
745 2724306 2009296
746 2721882 2006872
747 2721510 2006500
748 2723682 2008672
749 2723708 2008698
750 2724320 2009310
751 2716731 2001721
752 2717523 2002513
753 2714168 1999158
754 2714252 1999242
755 2714516 1999506
756 2715224 2000214
757 2715476 2000466
758 2715620 2000610
759 2715692 2000682
760 2715944 2000934
761 2716400 2001390
762 2714617 1999607
763 2714461 1999451
764 2714005 1998995
765 2713585 1998575
766 2714605 1999595
767 2716745 2001735
768 2717657 2002647
769 2718353 2003343
770 2718435 2003425
771 2718589 2003579
772 2717439 2002429
773 2718543 2003533
774 2715831 2000821
775 2716899 2001889
776 2717115 2002105
777 2717272 2002262
778 2717200 2002190
779 2717128 2002118
780 2716792 2001782
781 2717260 2002250
782 2717416 2002406
783 2718100 2003090
784 2716342 2001332
785 2715880 2000870
786 2716814 2001804
787 2716372 2001362
788 2714534 1999524
789 2715494 2000484
790 2715998 2000988
791 2712686 1997676
792 2713898 1998888
793 2714906 1999896
794 2715578 2000568
795 2716346 2001336
796 2716190 2001180
797 2716118 2001108
798 2716466 2001456
799 2716502 2001492
800 2720721 2005711
801 2721321 2006311
802 2722709 2007699
803 2721814 2006804
804 2719620 2004610
805 2718736 2003726
806 2720206 2005196
807 2719198 2004188
808 2719691 2004681
809 2720729 2005719
810 2718438 2003428
811 2721778 2006768
812 2722980 2007970
813 2719188 2004178
814 2718900 2003890
815 2716196 2001186
816 2716040 2001030
817 2716304 2001294
818 2714377 1999367
819 2714581 1999571
820 2714690 1999680
821 2714510 1999500
822 2711666 1996656
823 2714569 1999559
824 2714953 1999943
825 2715637 2000627
826 2716189 2001179
827 2716393 2001383
828 2717161 2002151
829 2717401 2002391
830 2717761 2002751
831 2718157 2003147
832 2717785 2002775
833 2716813 2001803
834 2717005 2001995
835 2716969 2001959
836 2716801 2001791
837 2716789 2001779
838 2715937 2000927
839 2712929 1997919
840 2711561 1996551
841 2708957 1993947
842 2709707 1994697
843 2709971 1994961
844 2710607 1995597
845 2710691 1995681
846 2710919 1995909
847 2708375 1993365
848 2708843 1993833
849 2706104 1991094
850 2705108 1990098
851 2704340 1989330
852 2703620 1988610
853 2702696 1987686
854 2709659 1994649
855 2710007 1994997
856 2710583 1995573
857 2710631 1995621
858 2711531 1996521
859 2707079 1992069
860 2705705 1990695
861 2706005 1990995
862 2706377 1991367
863 2705879 1990869
864 2705147 1990137
865 2704427 1989417
866 2703875 1988865
867 2703203 1988193
868 2703719 1988709
869 2705231 1990221
870 2705927 1990917
871 2706671 1991661
872 2710366 1995356
873 2710150 1995140
874 2710774 1995764
875 2704741 1989731
876 2706289 1991279
877 2707045 1992035
878 2706539 1991529
879 2705627 1990617
880 2704679 1989669
881 2704595 1989585
882 2704283 1989273
883 2705087 1990077
884 2705903 1990893
885 2707021 1992011
886 2707129 1992119
887 2707669 1992659
888 2703354 1988344
889 2703558 1988548
890 2704679 1989669
891 2706311 1991301
892 2704158 1989148
893 2703750 1988740
894 2703522 1988512
895 2704518 1989508
896 2704854 1989844
897 2705694 1990684
898 2705598 1990588
899 2701998 1986988
900 2705802 1990792
901 2707746 1992736
902 2702526 1987516
903 2702778 1987768
904 2702838 1987828
905 2703246 1988236
906 2703294 1988284
907 2703666 1988656
908 2716257 2001247
909 2716552 2001542
910 2716782 2001772
911 2716825 2001815
912 2717033 2002023
913 2702330 1987320
914 2702066 1987056
915 2701934 1986924
916 2721404 2006394
917 2721609 2006599
918 2722041 2007031
919 2722473 2007463
920 2722894 2007884
921 2723902 2008892
922 2726457 2011447
923 2730029 2015019
924 2731337 2016327
925 2714860 1999850
926 2680394 1910288
927 2683634 1906400
928 2688208 1904469
929 2689102 1905363
930 2684039 1906011
931 2948509 1642436
932 2948847 1642774
933 2948940 1642867
934 2951215 1645142
935 2951308 1645235
936 2951459 1645386
937 2934873 1547149
938 2934617 1546893
939 2874118 1583965
940 2873398 1583245
941 2873094 1582941
942 2872308 1582155
943 2872054 1581901
944 2871301 1581148
945 2870543 1580390
946 2868217 1578064
947 2619136 1849131
948 2618589 1849678
949 3095780 1638232
950 3095543 1637995
951 3094967 1637419
952 3362026 1866488
953 3360680 1865142
954 3434259 1938721
955 3432624 1937086
956 3432583 1937045
957 3421619 1926081
958 3476994 1981456
959 2755763 1835471
960 2756076 1834110
961 2777178 1890662
962 2775711 1892129
963 2772574 1848747
964 2772893 1849066
965 2745039 1922801
966 2745679 1922161
967 2747543 1920297
968 2749015 1918825
969 2749459 1918381
970 2750219 1917621
971 2753259 1914581
972 2753383 1914457
973 2755163 1912677
974 2756963 1910877
975 2757731 1910109
976 2759183 1908657
977 2759411 1908429
978 2764807 1903033
979 2766487 1901353
980 2767251 1900589
981 2767419 1900421
982 2767807 1900033
983 2768291 1899549
984 2768447 1899393
985 2769295 1898545
986 2769871 1897969
987 2725658 1932375
988 2726442 1933159
989 2727594 1934311
990 2732770 1939487
991 2736240 1942957
992 2737017 1943734
993 2741315 1948032
994 2741660 1948377
995 2741796 1948513
996 2743855 1950572
997 2725432 1947977
998 2734316 1956861
999 2734560 1957105
1000 2625772 1966477
1001 2625756 1966375
1002 2625794 1966275
1003 2667132 1952279
1004 2666731 1952680
1005 2682189 1967179
1006 2682275 1967265
1007 2696385 1994685
1008 2695197 1993497
1009 2606435 1861832
1010 2606983 1862380
1011 2588961 2014523
1012 2570174 1995736
1013 2701984 1986974
1014 2702092 1987082
1015 2702236 1987226
1016 2702452 1987442
1017 2703558 1988548
1018 2701416 1986406
1019 2699308 1997608
1020 2699116 1997416
1021 2691310 1989610
1022 2691484 1989784
1023 2699956 1998256
1024 2703694 2001994
1025 2447897 2120329
1026 2447990 2120422
1027 2448141 2119503
1028 1629795 2938680
1029 1629913 2938798
1030 1639232 2948117
1031 1637741 2946626
1032 1629703 2938588
1033 1629899 2938784
1034 1629785 2938670
1035 1629918 2938379
1036 1629355 2938589
1037 1629612 2938497
1038 1629833 2938718
1039 1676257 2980166
1040 1684411 2988320
1041 1651340 2962792
1042 1664684 2976136
1043 1656260 2967712
1044 1640180 2951632
1045 1630244 2941696
1046 1628930 2940382
1047 1628246 2939698
1048 1632967 2941852
1049 1633266 2942151
1050 1635066 2943951
1051 1629571 2938456
1052 1629693 2938578
1053 1634118 2943003
1054 1634786 2943671
1055 1635392 2944277
1056 1635752 2944637
1057 1746664 2821449
1058 1747904 2820209
1059 1704796 2863317
1060 1710064 2858049
1061 1711532 2856581
1062 1712680 2855433
1063 1712976 2855137
1064 1704678 2863435
1065 1632634 2936543
1066 1634662 2938571
1067 1635606 2939515
1068 1636322 2940231
1069 1637090 2940999
1070 1637542 2941451
1071 1639526 2943435
1072 1640030 2943939
1073 1635946 2932167
1074 1637934 2930179
1075 1638350 2929763
1076 1639594 2928519
1077 1640330 2927783
1078 1643906 2924207
1079 1647714 2920399
1080 1647774 2920339
1081 1630402 2939287
1082 1630861 2939746
1083 1631047 2939932
1084 1960301 2607743
1085 1959609 2608435
1086 1957689 2610355
1087 1956137 2611907
1088 1951157 2616887
1089 1950313 2617731
1090 1949025 2619019
1091 1946773 2621271
1092 1944077 2623967
1093 1943457 2624587
1094 1922441 2645603
1095 1921887 2646157
1096 1921297 2646747
1097 1921175 2646869
1098 1920635 2647409
1099 1919959 2648085
1100 1919117 2648927
1101 1939917 2628127
1102 1947809 2636019
1103 1986653 2581391
1104 2014505 2553539
1105 2017297 2550747
1106 2024349 2543695
1107 2025065 2542979
1108 2025693 2542351
1109 2026357 2541687
1110 2027625 2540419
1111 2037889 2530155
1112 2039889 2528155
1113 2467232 2329899
1114 2466278 2330853
1115 2465549 2331582
1116 2464645 2332486
1117 2463178 2333953
1118 2461797 2335334
1119 2459358 2337773
1120 2457401 2339730
1121 2455651 2341480
1122 2452542 2344589
1123 2450459 2346672
1124 2448952 2348179
1125 2446356 2350775
1126 2445587 2351544
1127 2443729 2353402
1128 2440561 2356570
1129 2427480 2369651
1130 2427098 2370033
1131 2415682 2381449
1132 2409315 2387816
1133 2405040 2392091
1134 2373873 2423258
1135 2372141 2424990
1136 2370490 2426641
1137 2363236 2433895
1138 2362593 2434538
1139 2693589 1978579
1140 2693211 1978201
1141 2693340 1978330
1142 2689705 1974695
1143 2690725 1975715
1144 2690749 1975739
1145 2691325 1976315
1146 2692273 1977263
1147 2692333 1977323
1148 2692886 1977876
1149 2692862 1977852
1150 2696341 1981331
1151 2694253 1979243
1152 2693653 1978643
1153 2691553 1976543
1154 2691361 1976351
1155 2687658 1972648
1156 2687470 1972460
1157 2699138 1984128
1158 2699303 1984293
1159 2699324 1984314
1160 2697368 1982358
1161 2695859 1980849
1162 2694812 1979802
1163 2695382 1980372
1164 2695419 1980409
1165 2694476 1979466
1166 2694275 1979265
1167 2695045 1980035
1168 2695059 1980049
1169 2695066 1980056
1170 2705672 1990662
1171 2705888 1990878
1172 2706104 1991094
1173 2706212 1991202
1174 2707832 1992822
1175 2710706 1995696
1176 2711894 1996884
1177 2712938 1997928
1178 2713046 1998036
1179 2698835 1983825
1180 2699510 1984500
1181 2700212 1985202
1182 2696078 1981068
1183 2700072 1985062
1184 2699936 1984926
1185 2692888 1977878
1186 2694097 1979087
1187 2689724 1974714
1188 2690978 1975968
1189 2689099 1974089
1190 2651282 1953727
1191 2651736 1954181
1192 2663922 1949009
1193 2666283 1941285
1194 2666520 1951510
1195 2666790 1951780
1196 2654608 1939598
1197 2662020 1928498
1198 2663703 1930181
1199 2703239 1988229
1200 2704127 1989117
1201 2704487 1989477
1202 2705288 1990278
1203 2705720 1990710
1204 2706032 1991022
1205 2706752 1991742
1206 2707412 1992402
1207 2707988 1992978
1208 2703872 1988862
1209 2707604 1992594
1210 2707328 1992318
1211 2710229 1995219
1212 2710385 1995375
1213 2710157 1995147
1214 2709665 1994655
1215 2709212 1994202
1216 2709740 1994730
1217 2709500 1994490
1218 2709578 1994568
1219 2709860 1994850
1220 2710349 1995339
1221 2710985 1995975
1222 2711933 1996923
1223 2710774 1995764
1224 2711458 1996448
1225 2711530 1996520
1226 2711638 1996628
1227 2712065 1997055
1228 2707558 1992548
1229 2708501 1993491
1230 2708551 1993541
1231 2689646 1974636
1232 2689711 1974701
1233 2691616 1976606
1234 2691817 1976807
1235 2692349 1977339
1236 2691904 1976894
1237 2692528 1977518
1238 2693188 1978178
1239 2693143 1978133
1240 2692399 1977389
1241 2691235 1976225
1242 2690947 1975937
1243 2690563 1975553
1244 2691163 1976153
1245 2691062 1976052
1246 2690882 1975872
1247 2690186 1975176
1248 2690006 1974996
1249 2689910 1974900
1250 2689742 1974732
1251 2689406 1974396
1252 2688060 1973050
1253 2688072 1973062
1254 2691950 1976940
1255 2691454 1976444
